concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept
135417,From initial search,Disorder of implantable defibrillator,Condition,SNOMED,S
506573,From initial search,Renewal of single chamber intravenous cardiac pacemaker system,Procedure,SNOMED,S
506574,From initial search,Renewal of dual chamber intravenous cardiac pacemaker system,Procedure,SNOMED,S
506575,From initial search,Renewal of single chamber cardiac pacemaker system,Procedure,SNOMED,S
506576,From initial search,Renewal of biventricular cardiac pacemaker,Procedure,SNOMED,S
506577,From initial search,Renewal of dual chamber cardiac pacemaker system,Procedure,SNOMED,S
507776,From initial search,Renewal of biventricular intravenous cardiac pacemaker system,Procedure,SNOMED,S
722703,From initial search,Level1 Pacemaker and Similar Procedures,Observation,APC,S
722773,From initial search,Level 3 Pacemaker and Similar Procedures,Observation,APC,S
722795,From initial search,Level 4 Pacemaker and Similar Procedures,Observation,APC,S
722988,From initial search,Level 2 Pacemaker and Similar Procedures,Observation,APC,S
764090,From initial search,Defibrillation using automated external cardiac defibrillator,Procedure,SNOMED,S
911827,From initial search,Other specified other cardiac pacemaker system introduced through vein,Procedure,OPCS4,S
1073865,From initial search,Fluoroscopy guided implantation of cardiac resynchronization defibrillator system,Procedure,SNOMED,S
1126208,From initial search,"Insertion of new or replacement of permanent pacemaker with atrial transvenous electrode(s), with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse ge...",Procedure,HCPCS,S
1126209,From initial search,"Insertion of new or replacement of permanent pacemaker with ventricular transvenous electrode(s), with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pul...",Procedure,HCPCS,S
1126210,From initial search,"Insertion of new or replacement of permanent pacemaker with atrial and ventricular transvenous electrode(s), with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pa...",Procedure,HCPCS,S
1126211,From initial search,"Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator, dual lead system, with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or...",Procedure,HCPCS,S
1242809,From initial search,Repair of cardiac pacemaker pocket,Procedure,SNOMED,S
1242813,From initial search,Electrophysiologic evaluation of cardioverter defibrillator,Procedure,SNOMED,S
1242814,From initial search,Electrophysiologic evaluation of cardioverter defibrillator lead,Procedure,SNOMED,S
1244511,From initial search,Debridement of pacemaker pocket,Procedure,SNOMED,S
1523450,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Chest @ Open @ Subcutaneous Defibrillator Lead",Procedure,ICD10PCS,S
1523516,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Removal @ Subcutaneous Tissue and Fascia, Trunk @ Percutaneous @ Subcutaneous Defibrillator Lead",Procedure,ICD10PCS,S
1523682,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Removal @ Subcutaneous Tissue and Fascia, Trunk @ Open @ Subcutaneous Defibrillator Lead",Procedure,ICD10PCS,S
1523707,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Revision @ Subcutaneous Tissue and Fascia, Trunk @ Percutaneous @ Subcutaneous Defibrillator Lead",Procedure,ICD10PCS,S
1523733,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Chest @ Percutaneous @ Subcutaneous Defibrillator Lead",Procedure,ICD10PCS,S
1523882,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Revision @ Subcutaneous Tissue and Fascia, Trunk @ Open @ Subcutaneous Defibrillator Lead",Procedure,ICD10PCS,S
1523915,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Revision @ Subcutaneous Tissue and Fascia, Trunk @ External @ Subcutaneous Defibrillator Lead",Procedure,ICD10PCS,S
1524149,From initial search,"Revision of Subcutaneous Defibrillator Lead in Trunk Subcutaneous Tissue and Fascia, External Approach",Procedure,ICD10PCS,S
1524150,From initial search,"Revision of Subcutaneous Defibrillator Lead in Trunk Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
1524151,From initial search,"Revision of Subcutaneous Defibrillator Lead in Trunk Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
1524152,From initial search,"Insertion of Subcutaneous Defibrillator Lead into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
1524153,From initial search,"Insertion of Subcutaneous Defibrillator Lead into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
1524154,From initial search,"Removal of Subcutaneous Defibrillator Lead from Trunk Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
1524155,From initial search,"Removal of Subcutaneous Defibrillator Lead from Trunk Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
1532755,From initial search,Medical and Surgical @ Respiratory System @ Insertion @ Diaphragm @ Percutaneous @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
1532954,From initial search,Medical and Surgical @ Respiratory System @ Insertion @ Diaphragm @ Percutaneous Endoscopic @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
1534873,From initial search,Medical and Surgical @ Respiratory System @ Insertion @ Diaphragm @ Open @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
1988736,From initial search,Provider of automated external defibrillator use,Observation,LOINC,S
2000048,From initial search,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]",Procedure,ICD9Proc,S
2000049,From initial search,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]",Procedure,ICD9Proc,S
2000050,From descendants,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system,Procedure,ICD9Proc,S
2000051,From initial search,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P],Procedure,ICD9Proc,S
2000052,From initial search,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D],Procedure,ICD9Proc,S
2001571,From initial search,"Insertion, revision, replacement, and removal of leads; insertion of temporary pacemaker system; or revision of cardiac device pocket",Procedure,ICD9Proc,S
2001572,From descendants,"Initial insertion of lead [electrode], not otherwise specified",Procedure,ICD9Proc,S
2001576,From descendants,Insertion or replacement of epicardial lead [electrode] into epicardium,Procedure,ICD9Proc,S
2001578,From descendants,Replacement of transvenous atrial and/or ventricular lead(s) [electrode],Procedure,ICD9Proc,S
2001581,From descendants,Revision or relocation of cardiac device pocket,Procedure,ICD9Proc,S
2001972,From initial search,"Insertion, replacement, removal, and revision of pacemaker device",Procedure,ICD9Proc,S
2001973,From initial search,"Insertion of permanent pacemaker, initial or replacement, type of device not specified",Procedure,ICD9Proc,S
2001980,From initial search,Revision or removal of pacemaker device,Procedure,ICD9Proc,S
2001996,From initial search,"Implantation or replacement of automatic cardioverter/defibrillator, total system [AICD]",Procedure,ICD9Proc,S
2001997,From initial search,Implantation of automatic cardioverter/defibrillator lead(s) only,Procedure,ICD9Proc,S
2001999,From initial search,Replacement of automatic cardioverter/defibrillator lead(s) only,Procedure,ICD9Proc,S
2006614,From descendants,"Insertion or replacement of single array neurostimulator pulse generator, not specified as rechargeable",Procedure,ICD9Proc,S
2006615,From descendants,"Insertion or replacement of multiple array neurostimulator pulse generator, not specified as rechargeable",Procedure,ICD9Proc,S
2006616,From descendants,Insertion or replacement of other neurostimulator pulse generator,Procedure,ICD9Proc,S
2006617,From descendants,Insertion or replacement of single array rechargeable neurostimulator pulse generator,Procedure,ICD9Proc,S
2006618,From descendants,Insertion or replacement of multiple array (two or more) rechargeable neurostimulator pulse generator,Procedure,ICD9Proc,S
2007054,From initial search,Cardiac stress tests and pacemaker and defibrillator checks,Procedure,ICD9Proc,S
2007058,From descendants,Other cardiovascular stress test,Procedure,ICD9Proc,S
2723486,From descendants,"Removal of Neurostimulator Lead from Brain, Open Approach",Procedure,ICD10PCS,S
2723493,From descendants,"Removal of Neurostimulator Lead from Brain, Percutaneous Approach",Procedure,ICD10PCS,S
2723500,From descendants,"Removal of Neurostimulator Lead from Brain, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2723504,From descendants,"Removal of Neurostimulator Lead from Brain, External Approach",Procedure,ICD10PCS,S
2725709,From initial search,"Insertion of Pacemaker Lead into Coronary Vein, Open Approach",Procedure,ICD10PCS,S
2725710,From initial search,"Insertion of Defibrillator Lead into Coronary Vein, Open Approach",Procedure,ICD10PCS,S
2725711,From descendants,"Insertion of Cardiac Lead into Coronary Vein, Open Approach",Procedure,ICD10PCS,S
2726059,From descendants,"Removal of Cardiac Lead from Heart, Open Approach",Procedure,ICD10PCS,S
2726070,From descendants,"Removal of Cardiac Lead from Heart, Percutaneous Approach",Procedure,ICD10PCS,S
2726081,From descendants,"Removal of Cardiac Lead from Heart, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726087,From descendants,"Removal of Cardiac Lead from Heart, External Approach",Procedure,ICD10PCS,S
2726167,From initial search,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Approach",Procedure,ICD10PCS,S
2726168,From initial search,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Approach",Procedure,ICD10PCS,S
2726169,From descendants,"Insertion of Cardiac Lead into Coronary Vein, Percutaneous Approach",Procedure,ICD10PCS,S
2726174,From initial search,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726175,From initial search,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726176,From descendants,"Insertion of Cardiac Lead into Coronary Vein, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726181,From initial search,"Insertion of Pacemaker Lead into Right Atrium, Open Approach",Procedure,ICD10PCS,S
2726182,From initial search,"Insertion of Defibrillator Lead into Right Atrium, Open Approach",Procedure,ICD10PCS,S
2726183,From descendants,"Insertion of Cardiac Lead into Right Atrium, Open Approach",Procedure,ICD10PCS,S
2726188,From initial search,"Insertion of Pacemaker Lead into Right Atrium, Percutaneous Approach",Procedure,ICD10PCS,S
2726189,From initial search,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Approach",Procedure,ICD10PCS,S
2726190,From descendants,"Insertion of Cardiac Lead into Right Atrium, Percutaneous Approach",Procedure,ICD10PCS,S
2726195,From initial search,"Insertion of Pacemaker Lead into Right Atrium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726196,From initial search,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726197,From descendants,"Insertion of Cardiac Lead into Right Atrium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726202,From initial search,"Insertion of Pacemaker Lead into Left Atrium, Open Approach",Procedure,ICD10PCS,S
2726203,From initial search,"Insertion of Defibrillator Lead into Left Atrium, Open Approach",Procedure,ICD10PCS,S
2726204,From descendants,"Insertion of Cardiac Lead into Left Atrium, Open Approach",Procedure,ICD10PCS,S
2726209,From initial search,"Insertion of Pacemaker Lead into Left Atrium, Percutaneous Approach",Procedure,ICD10PCS,S
2726210,From initial search,"Insertion of Defibrillator Lead into Left Atrium, Percutaneous Approach",Procedure,ICD10PCS,S
2726211,From descendants,"Insertion of Cardiac Lead into Left Atrium, Percutaneous Approach",Procedure,ICD10PCS,S
2726216,From initial search,"Insertion of Pacemaker Lead into Left Atrium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726217,From initial search,"Insertion of Defibrillator Lead into Left Atrium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726218,From descendants,"Insertion of Cardiac Lead into Left Atrium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726232,From initial search,"Insertion of Pacemaker Lead into Right Ventricle, Open Approach",Procedure,ICD10PCS,S
2726233,From initial search,"Insertion of Defibrillator Lead into Right Ventricle, Open Approach",Procedure,ICD10PCS,S
2726234,From descendants,"Insertion of Cardiac Lead into Right Ventricle, Open Approach",Procedure,ICD10PCS,S
2726239,From initial search,"Insertion of Pacemaker Lead into Right Ventricle, Percutaneous Approach",Procedure,ICD10PCS,S
2726240,From initial search,"Insertion of Defibrillator Lead into Right Ventricle, Percutaneous Approach",Procedure,ICD10PCS,S
2726241,From descendants,"Insertion of Cardiac Lead into Right Ventricle, Percutaneous Approach",Procedure,ICD10PCS,S
2726246,From initial search,"Insertion of Pacemaker Lead into Right Ventricle, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726247,From initial search,"Insertion of Defibrillator Lead into Right Ventricle, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726248,From descendants,"Insertion of Cardiac Lead into Right Ventricle, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726253,From initial search,"Insertion of Pacemaker Lead into Left Ventricle, Open Approach",Procedure,ICD10PCS,S
2726254,From initial search,"Insertion of Defibrillator Lead into Left Ventricle, Open Approach",Procedure,ICD10PCS,S
2726255,From descendants,"Insertion of Cardiac Lead into Left Ventricle, Open Approach",Procedure,ICD10PCS,S
2726260,From initial search,"Insertion of Pacemaker Lead into Left Ventricle, Percutaneous Approach",Procedure,ICD10PCS,S
2726261,From initial search,"Insertion of Defibrillator Lead into Left Ventricle, Percutaneous Approach",Procedure,ICD10PCS,S
2726262,From descendants,"Insertion of Cardiac Lead into Left Ventricle, Percutaneous Approach",Procedure,ICD10PCS,S
2726267,From initial search,"Insertion of Pacemaker Lead into Left Ventricle, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726268,From initial search,"Insertion of Defibrillator Lead into Left Ventricle, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726269,From descendants,"Insertion of Cardiac Lead into Left Ventricle, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726272,From initial search,"Insertion of Pacemaker Lead into Pericardium, Open Approach",Procedure,ICD10PCS,S
2726273,From initial search,"Insertion of Defibrillator Lead into Pericardium, Open Approach",Procedure,ICD10PCS,S
2726274,From descendants,"Insertion of Cardiac Lead into Pericardium, Open Approach",Procedure,ICD10PCS,S
2726277,From initial search,"Insertion of Pacemaker Lead into Pericardium, Percutaneous Approach",Procedure,ICD10PCS,S
2726278,From initial search,"Insertion of Defibrillator Lead into Pericardium, Percutaneous Approach",Procedure,ICD10PCS,S
2726279,From descendants,"Insertion of Cardiac Lead into Pericardium, Percutaneous Approach",Procedure,ICD10PCS,S
2726282,From initial search,"Insertion of Pacemaker Lead into Pericardium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726283,From initial search,"Insertion of Defibrillator Lead into Pericardium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726284,From descendants,"Insertion of Cardiac Lead into Pericardium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2727195,From descendants,"Revision of Cardiac Lead in Heart, Open Approach",Procedure,ICD10PCS,S
2727206,From descendants,"Revision of Cardiac Lead in Heart, Percutaneous Approach",Procedure,ICD10PCS,S
2727217,From descendants,"Revision of Cardiac Lead in Heart, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2727228,From descendants,"Revision of Cardiac Lead in Heart, External Approach",Procedure,ICD10PCS,S
2741862,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Right Diaphragm, Open Approach (Deprecated)",Procedure,ICD10PCS,S
2741864,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Right Diaphragm, Percutaneous Approach (Deprecated)",Procedure,ICD10PCS,S
2741866,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Right Diaphragm, Percutaneous Endoscopic Approach (Deprecated)",Procedure,ICD10PCS,S
2741868,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Left Diaphragm, Open Approach (Deprecated)",Procedure,ICD10PCS,S
2741870,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Left Diaphragm, Percutaneous Approach (Deprecated)",Procedure,ICD10PCS,S
2741872,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Left Diaphragm, Percutaneous Endoscopic Approach (Deprecated)",Procedure,ICD10PCS,S
2741926,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Open Approach",Procedure,ICD10PCS,S
2741932,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Percutaneous Approach",Procedure,ICD10PCS,S
2741938,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2741944,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Via Natural or Artificial Opening",Procedure,ICD10PCS,S
2741950,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Via Natural or Artificial Opening Endoscopic",Procedure,ICD10PCS,S
2741956,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, External Approach",Procedure,ICD10PCS,S
2743685,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Open Approach",Procedure,ICD10PCS,S
2743691,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Percutaneous Approach",Procedure,ICD10PCS,S
2743697,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2743703,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Via Natural or Artificial Opening",Procedure,ICD10PCS,S
2743709,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Via Natural or Artificial Opening Endoscopic",Procedure,ICD10PCS,S
2743712,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, External Approach",Procedure,ICD10PCS,S
2755317,From descendants,"Revision of Cardiac Rhythm Related Device in Trunk Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2755330,From descendants,"Revision of Cardiac Rhythm Related Device in Trunk Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2755343,From descendants,"Revision of Cardiac Rhythm Related Device in Trunk Subcutaneous Tissue and Fascia, External Approach",Procedure,ICD10PCS,S
2756515,From initial search,"Insertion of Pacemaker, Single Chamber into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756516,From initial search,"Insertion of Pacemaker, Single Chamber Rate Responsive into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756517,From initial search,"Insertion of Pacemaker, Dual Chamber into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756518,From initial search,"Insertion of Cardiac Resynchronization Pacemaker Pulse Generator into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756519,From initial search,"Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756520,From initial search,"Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Chest Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756535,From initial search,"Insertion of Pacemaker, Single Chamber into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756536,From initial search,"Insertion of Pacemaker, Single Chamber Rate Responsive into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756537,From initial search,"Insertion of Pacemaker, Dual Chamber into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756538,From initial search,"Insertion of Cardiac Resynchronization Pacemaker Pulse Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756539,From initial search,"Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756540,From initial search,"Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756569,From initial search,"Insertion of Pacemaker, Single Chamber into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756570,From initial search,"Insertion of Pacemaker, Single Chamber Rate Responsive into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756571,From initial search,"Insertion of Pacemaker, Dual Chamber into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756572,From initial search,"Insertion of Cardiac Resynchronization Pacemaker Pulse Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756768,From initial search,"Insertion of Defibrillator Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756769,From initial search,"Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach",Procedure,ICD10PCS,S
2756784,From initial search,"Insertion of Pacemaker, Single Chamber into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
2756785,From initial search,"Insertion of Pacemaker, Single Chamber Rate Responsive into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach",Procedure,ICD10PCS,S
