concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
602902,Erosion of vagina caused by mesh,Condition,SNOMED,Disorder,S,1145204007,2021-07-31,2099-12-31,NA
1076752,Infection associated with artificial urinary sphincter,Condition,SNOMED,Disorder,S,16697661000119105,2024-04-01,2099-12-31,NA
1076753,Infection associated with stent of urinary tract,Condition,SNOMED,Disorder,S,16697701000119103,2024-04-01,2099-12-31,NA
4032447,Post-catheterization urethral stricture,Condition,SNOMED,Disorder,S,236693000,2002-01-31,2099-12-31,NA
4032455,Obstruction of urinary stent,Condition,SNOMED,Disorder,S,236725009,2002-01-31,2099-12-31,NA
4032456,Testicular prosthesis displacement,Condition,SNOMED,Disorder,S,236728006,2002-01-31,2099-12-31,NA
4032457,Testicular prosthesis extrusion,Condition,SNOMED,Disorder,S,236730008,2002-01-31,2099-12-31,NA
4061848,Retained intrauterine contraceptive device in pregnancy,Condition,SNOMED,Disorder,S,199742002,2002-01-31,2099-12-31,NA
4094187,Burst balloon of self-retaining catheter,Condition,SNOMED,Disorder,S,281166002,2002-01-31,2099-12-31,NA
4126291,Disorder of urinary sphincter implant,Condition,SNOMED,Disorder,S,236723002,2002-01-31,2099-12-31,NA
4126293,Disorder of testicular prosthesis,Condition,SNOMED,Disorder,S,236727001,2002-01-31,2099-12-31,NA
4126294,Displacement of penile prosthesis,Condition,SNOMED,Disorder,S,236734004,2002-01-31,2099-12-31,NA
4127401,Disorder associated with retained intrauterine contraceptive device,Condition,SNOMED,Disorder,S,237079000,2002-01-31,2099-12-31,NA
4127402,Expulsion intrauterine contraceptive device,Condition,SNOMED,Disorder,S,237080002,2002-01-31,2099-12-31,NA
4127721,Testicular prosthesis infection,Condition,SNOMED,Disorder,S,236729003,2002-01-31,2099-12-31,NA
4127722,Bleeding due to intrauterine contraceptive device,Condition,SNOMED,Disorder,S,236737006,2002-01-31,2099-12-31,NA
4128530,Migration of urinary stent,Condition,SNOMED,Disorder,S,236726005,2002-01-31,2099-12-31,NA
4128532,Disorder of implanted penile prosthesis,Condition,SNOMED,Disorder,S,236731007,2002-01-31,2099-12-31,NA
4128533,Extrusion of penile prosthesis,Condition,SNOMED,Disorder,S,236733005,2002-01-31,2099-12-31,NA
4128535,Perforation of uterus caused by intrauterine contraceptive device,Condition,SNOMED,Disorder,S,236738001,2002-01-31,2099-12-31,NA
4128541,Malfunction of penile prosthesis,Condition,SNOMED,Disorder,S,236761004,2002-01-31,2099-12-31,NA
4132457,Disorder of cystostomy catheter,Condition,SNOMED,Disorder,S,278534004,2002-01-31,2099-12-31,NA
4146942,Displacement of nephrostomy tube,Condition,SNOMED,Disorder,S,309785008,2002-01-31,2099-12-31,NA
4148490,Obstruction of ureteric stent,Condition,SNOMED,Disorder,S,309784007,2002-01-31,2099-12-31,NA
4155079,Disorder of urethral catheter,Condition,SNOMED,Disorder,S,271972006,2002-01-31,2099-12-31,NA
4158481,Disorder of intrauterine contraceptive device,Condition,SNOMED,Disorder,S,271973001,2002-01-31,2099-12-31,NA
4158482,Disorder of prosthetic reconstruction of vas deferens,Condition,SNOMED,Disorder,S,271974007,2002-01-31,2099-12-31,NA
4159655,Infection of urinary bladder catheter,Condition,SNOMED,Disorder,S,371061003,2002-07-31,2099-12-31,NA
4176898,Complication of urinary catheter,Condition,SNOMED,Disorder,S,427793007,2008-01-31,2099-12-31,NA
4221468,Leakage from urinary catheter,Condition,SNOMED,Disorder,S,420648005,2006-07-31,2099-12-31,NA
4223206,Penile prosthesis infection,Condition,SNOMED,Disorder,S,404192008,2004-01-31,2099-12-31,NA
35624460,Displacement of indwelling urinary catheter balloon into urethra due to and following insertion of urethral catheter,Condition,SNOMED,Disorder,S,767225004,2018-07-31,2099-12-31,NA
36675631,Retained fragment of urethral catheter,Condition,SNOMED,Disorder,S,772072004,2019-01-31,2099-12-31,NA
36712801,Malposition of intrauterine contraceptive device,Condition,SNOMED,Disorder,S,12198241000119109,2017-01-31,2099-12-31,NA
37161391,Disorder caused by ureteric stent,Condition,SNOMED,Disorder,S,1179235002,2021-10-31,2099-12-31,NA
37163755,Malposition of penile prosthesis,Condition,SNOMED,Disorder,S,12204511000119103,2022-10-31,2099-12-31,NA
37168066,Intrauterine contraceptive device (IUD) breakage,Condition,SNOMED,Disorder,S,1269475009,2023-04-30,2099-12-31,NA
37169345,Vaginal pessary erosion into vaginal wall,Condition,SNOMED,Disorder,S,15926601000119102,2023-06-30,2099-12-31,NA
37169679,Infection of ureteral stent,Condition,SNOMED,Disorder,S,16697741000119101,2022-09-30,2099-12-31,NA
37169696,Infection of nephrostomy catheter,Condition,SNOMED,Disorder,S,16731481000119108,2022-09-30,2099-12-31,NA
37169700,Malposition of ureteral stent,Condition,SNOMED,Disorder,S,16740891000119102,2022-10-31,2099-12-31,NA
37171207,Exposure of vaginal mesh implant into vagina,Condition,SNOMED,Disorder,S,328751000119102,2023-06-30,2099-12-31,NA
37312262,Migration of intrauterine contraceptive device,Condition,SNOMED,Disorder,S,789473005,2020-01-31,2099-12-31,NA
43021248,Disorder associated with urogenital device,Condition,SNOMED,Disorder,S,473035006,2013-01-31,2099-12-31,NA
43021260,Infection associated with indwelling urinary catheter,Condition,SNOMED,Disorder,S,473051003,2013-01-31,2099-12-31,NA
43021264,Infection associated with genitourinary device,Condition,SNOMED,Disorder,S,473056008,2013-01-31,2099-12-31,NA
43021278,Infection associated with intrauterine contraceptive device,Condition,SNOMED,Disorder,S,473076002,2013-01-31,2099-12-31,NA
43021281,Inflammation associated with retained intrauterine contraceptive device,Condition,SNOMED,Disorder,S,473079009,2013-01-31,2099-12-31,NA
43021342,Inflammation associated with indwelling urinary catheter,Condition,SNOMED,Disorder,S,473091000,2013-01-31,2099-12-31,NA
43021343,Infection and inflammation associated with indwelling urinary catheter,Condition,SNOMED,Disorder,S,473092007,2013-01-31,2099-12-31,NA
43021345,Inflammation associated with genitourinary device,Condition,SNOMED,Disorder,S,473094008,2013-01-31,2099-12-31,NA
43021393,Retained ureteric catheter,Condition,SNOMED,Disorder,S,473153002,2013-01-31,2099-12-31,NA
43021394,Retained fragment of ureteric catheter,Condition,SNOMED,Disorder,S,473154008,2013-01-31,2099-12-31,NA
43021395,Retained ureteric stent,Condition,SNOMED,Disorder,S,473156005,2013-01-31,2099-12-31,NA
43021413,Obstruction of suprapubic catheter,Condition,SNOMED,Disorder,S,473183006,2013-01-31,2099-12-31,NA
43021984,Infection associated with retained intrauterine contraceptive device,Condition,SNOMED,Disorder,S,473065001,2013-01-31,2099-12-31,NA
43021989,Infection and inflammation associated with retained intrauterine contraceptive device,Condition,SNOMED,Disorder,S,473082004,2013-01-31,2099-12-31,NA
43022002,Migration of suprapubic catheter,Condition,SNOMED,Disorder,S,473135008,2013-01-31,2099-12-31,NA
45763849,Catheter-associated urinary tract infection,Condition,SNOMED,Disorder,S,700372006,2014-07-31,2099-12-31,NA
